,video_id,country_trending,day_trending
0,GgdITv92J3c,UY,2021-04-27
1,mg76LyeBa2w,UY,2021-04-27
2,apjWkX0RRi8,UY,2021-04-27
3,NyC3Yk81sZc,UY,2021-04-27
4,RhXmRPF1ELs,UY,2021-04-27
5,i45nya8gTiY,UY,2021-04-27
6,Z_ZtMjyIHWI,UY,2021-04-27
7,rMlo4-tSges,UY,2021-04-27
8,d1HoXDc15Fk,UY,2021-04-27
9,EjToEUlw7BA,UY,2021-04-27
10,I0tCDI9b2UU,UY,2021-04-27
11,66TYJJObd6E,UY,2021-04-27
12,ajQTpIyAXI4,UY,2021-04-27
13,mO0p1-W2dAA,UY,2021-04-27
14,s4W428ivQ6c,UY,2021-04-27
15,NIP4tv2TKXM,UY,2021-04-27
16,59QPLCGUDdY,UY,2021-04-27
17,hxzxQ4Sgdnc,UY,2021-04-27
18,ip92sB6BKXo,UY,2021-04-27
19,Hv074Z5JwqI,UY,2021-04-27
20,yfy7M5eG1HI,UY,2021-04-27
21,OzXnNSwoE1A,UY,2021-04-27
22,zTuigQJkhBk,UY,2021-04-27
23,G-5DAXeNaes,UY,2021-04-27
24,m73ZJvNyw64,UY,2021-04-27
25,NLcim9EPx6c,UY,2021-04-27
26,hfeGGgfK7bM,UY,2021-04-27
27,L5nCWyXgHIE,UY,2021-04-27
28,zigF4-f4Cx4,UY,2021-04-27
29,Fc7-Oe0tj5k,UY,2021-04-27
30,PmjAut3utbU,UY,2021-04-27
31,Jz1QcsYL00w,UY,2021-04-27
32,u03-6xBVpoc,UY,2021-04-27
33,OGM8fCBjiH8,UY,2021-04-27
34,eIbOzZeyXh4,UY,2021-04-27
35,BByx-QYl9R0,UY,2021-04-27
36,tIgDnzPOVvs,UY,2021-04-27
37,1qNhsoF2LbY,UY,2021-04-27
38,l4kd25hvkUY,UY,2021-04-27
39,xjqYxlHTQW8,UY,2021-04-27
40,ChZaqqoNg-0,UY,2021-04-27
41,PduN99LtoPk,UY,2021-04-27
42,nAvtrZc0NqM,UY,2021-04-27
43,0Mq4Xdo0EBQ,UY,2021-04-27
44,CMyu2H56DBk,UY,2021-04-27
45,338KrGR2He4,UY,2021-04-27
46,IAQ1aYZfSyI,UY,2021-04-27
47,p-6gvYgyH6U,UY,2021-04-27
48,kLL-jQNQAyc,UY,2021-04-27
49,fi1gT23EtOo,UY,2021-04-27
50,GLC9PsI4mis,UY,2021-04-27
51,pFv-iMnrBwk,UY,2021-04-27
52,aHDCrf2WwbY,UY,2021-04-27
