,video_id,country_trending,day_trending
0,Hv074Z5JwqI,UY,2021-04-26
1,u03-6xBVpoc,UY,2021-04-26
2,Jz1QcsYL00w,UY,2021-04-26
3,tIgDnzPOVvs,UY,2021-04-26
4,hfeGGgfK7bM,UY,2021-04-26
5,l4kd25hvkUY,UY,2021-04-26
6,eIbOzZeyXh4,UY,2021-04-26
7,nAvtrZc0NqM,UY,2021-04-26
8,0Mq4Xdo0EBQ,UY,2021-04-26
9,PduN99LtoPk,UY,2021-04-26
10,xjqYxlHTQW8,UY,2021-04-26
11,CMyu2H56DBk,UY,2021-04-26
12,p-6gvYgyH6U,UY,2021-04-26
13,kLL-jQNQAyc,UY,2021-04-26
14,fi1gT23EtOo,UY,2021-04-26
15,IAQ1aYZfSyI,UY,2021-04-26
16,FgQbXQnKHO0,UY,2021-04-26
17,aHDCrf2WwbY,UY,2021-04-26
18,KWmL5SkRtzk,UY,2021-04-26
19,pFv-iMnrBwk,UY,2021-04-26
20,B8tAh1YmHBQ,UY,2021-04-26
21,Nwav1Xoee6s,UY,2021-04-26
22,m4pGOxKCoc4,UY,2021-04-26
23,lqyFuIZWvy8,UY,2021-04-26
24,DXdhx2jB3WI,UY,2021-04-26
25,LIIDh-qI9oI,UY,2021-04-26
26,NOXnQxIFagY,UY,2021-04-26
27,W0hJzGXr5ss,UY,2021-04-26
28,yZxTUQnjEhY,UY,2021-04-26
29,8pD9DOuD-O8,UY,2021-04-26
30,VdBUlTD08C8,UY,2021-04-26
31,cSI9gtLxguQ,UY,2021-04-26
32,q-ViHr5TELc,UY,2021-04-26
33,PeLIgGrEOnA,UY,2021-04-26
34,o8aMPODRkjc,UY,2021-04-26
35,yrObAcP5NEA,UY,2021-04-26
36,SW6L_lTrIFg,UY,2021-04-26
37,2Ed9cexJ1U0,UY,2021-04-26
38,hAxqygRdM4g,UY,2021-04-26
39,5KqdnlW0YKY,UY,2021-04-26
40,kh-WqehT23c,UY,2021-04-26
41,GUfRAu_pEY0,UY,2021-04-26
42,wE9iVzATmk4,UY,2021-04-26
43,xpr-QdpUVYg,UY,2021-04-26
44,2Rwu2jERObE,UY,2021-04-26
45,ALlLSxzAzS0,UY,2021-04-26
46,crnZT7DPqyo,UY,2021-04-26
47,_wE3hDN06Qg,UY,2021-04-26
48,LwATJ9sezfk,UY,2021-04-26
49,TSBiJ8zlPUk,UY,2021-04-26
50,q1lCEB683O8,UY,2021-04-26
51,i3Go1KvZdYc,UY,2021-04-26
52,CYo2hleHZ20,UY,2021-04-26
53,valD7apHdvM,UY,2021-04-26
54,HrGwgANK20A,UY,2021-04-26
55,ubhFDonmPg0,UY,2021-04-26
56,XegHMc35Bo8,UY,2021-04-26
57,jcYuJuMdcKg,UY,2021-04-26
58,G9iDK2LrhHw,UY,2021-04-26
59,YspVHSxhncI,UY,2021-04-26
60,6n5XSaliLRA,UY,2021-04-26
61,0UgoLFvryBY,UY,2021-04-26
62,pFicAT0TWAY,UY,2021-04-26
63,3NqMZuylVbg,UY,2021-04-26
64,f7PMJ8dc4mI,UY,2021-04-26
65,JasYNAEgehM,UY,2021-04-26
66,V6aVRFy5sXs,UY,2021-04-26
67,y5KjHgWFX1U,UY,2021-04-26
68,OTyibPbxafs,UY,2021-04-26
69,TCGKC2Wa3Iw,UY,2021-04-26
70,EdS-OjNKnaU,UY,2021-04-26
71,jYjuNA9UUDA,UY,2021-04-26
72,3-BRfzrUk1E,UY,2021-04-26
73,oshvcDjEKZc,UY,2021-04-26
74,En6OxiLJSZc,UY,2021-04-26
75,oxjx-oFG530,UY,2021-04-26
76,g7UBP7B_n2U,UY,2021-04-26
77,Qvv3NZftN1Q,UY,2021-04-26
78,SgLBsBKprkM,UY,2021-04-26
79,r2D17K-n_jo,UY,2021-04-26
80,UsShDgKWzfE,UY,2021-04-26
81,IGCNp2AgYHw,UY,2021-04-26
82,r_jfOh-Pf4s,UY,2021-04-26
83,yTzCpCbIPdo,UY,2021-04-26
84,KpMfrHIlrG4,UY,2021-04-26
85,YnKJ7iBNypw,UY,2021-04-26
86,MSjS423ADDI,UY,2021-04-26
87,S8nlMJfE6pc,UY,2021-04-26
88,w_I3BpXgc9E,UY,2021-04-26
89,SpzERUcilx4,UY,2021-04-26
90,y43rmAQ-l_M,UY,2021-04-26
91,RLqK453rQR4,UY,2021-04-26
92,v0nlO0j1WMc,UY,2021-04-26
93,L1lnoM3-h-Q,UY,2021-04-26
94,bKCwfuxK3Bg,UY,2021-04-26
95,BNDl8DhrwzA,UY,2021-04-26
96,J2KVwfxTbfo,UY,2021-04-26
97,P4JsiA0FEoQ,UY,2021-04-26
98,TWKc5QyWDTw,UY,2021-04-26
99,vkKqEmaKUXI,UY,2021-04-26
100,oPjbHwxr-NM,UY,2021-04-26
101,CEkYUfiwWvU,UY,2021-04-26
102,K8RpPCuuvQc,UY,2021-04-26
103,HfvWcrDB0UA,UY,2021-04-26
104,Ag-c9_vRR9U,UY,2021-04-26
105,JdBYVNuky1M,UY,2021-04-26
106,v6A1xPvyIIg,UY,2021-04-26
107,2SmijZvJfvM,UY,2021-04-26
108,w2ZAwYtI6yU,UY,2021-04-26
109,zh9QnBnByI4,UY,2021-04-26
110,esbVYGRbY60,UY,2021-04-26
111,QeJgaHK3Khg,UY,2021-04-26
112,IJZaJBowMMc,UY,2021-04-26
